Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
4250,4250,4250,17 Dec 2021
3560,3560,3560,16 Dec 2021
3592,3592,3592,15 Dec 2021
3185,3185,3185,14 Dec 2021
3160,3160,3160,13 Dec 2021
3642,3642,3642,12 Dec 2021
3100,3100,3100,11 Dec 2021
3675,3675,3675,10 Dec 2021
3185,3185,3185,09 Dec 2021
2975,2975,2975,08 Dec 2021
4350,4350,4350,07 Dec 2021
3288,3288,3288,06 Dec 2021
5201,5201,5201,05 Dec 2021
3185,3185,3185,04 Dec 2021
3905,3905,3905,03 Dec 2021
3017,3017,3017,02 Dec 2021
4295,4295,4295,01 Dec 2021
4225,4225,4225,30 Nov 2021
6051,6051,6051,29 Nov 2021
3775,3775,3775,28 Nov 2021
3870,3870,3870,27 Nov 2021
2885,2885,2885,26 Nov 2021
3185,3185,3185,25 Nov 2021
3560,3560,3560,24 Nov 2021
2955,2955,2955,23 Nov 2021
5151,5151,5151,22 Nov 2021
4600,4600,4600,21 Nov 2021
5901,5901,5901,20 Nov 2021
3401,3401,3401,19 Nov 2021
2933,2933,2933,18 Nov 2021
5201,5201,5201,17 Nov 2021
4225,4225,4225,16 Nov 2021
3035,3035,3035,15 Nov 2021
3642,3642,3642,14 Nov 2021
3201,3201,3201,13 Nov 2021
