Unnamed: 0,Date,Centre_Name,Price
29841,30-03-12,MUMBAI,1925.0
29842,30-03-12,NAGPUR,2050.0
29890,02-04-12,MUMBAI,1925.0
29891,02-04-12,NAGPUR,2050.0
29939,03-04-12,MUMBAI,1925.0
29940,03-04-12,NAGPUR,2050.0
29988,04-04-12,MUMBAI,1925.0
29989,04-04-12,NAGPUR,2050.0
30037,09-04-12,MUMBAI,1925.0
30038,09-04-12,NAGPUR,2050.0
30086,10-04-12,MUMBAI,1925.0
30087,10-04-12,NAGPUR,2050.0
30135,11-04-12,MUMBAI,1925.0
30136,11-04-12,NAGPUR,2050.0
30184,12-04-12,MUMBAI,1925.0
30185,12-04-12,NAGPUR,2050.0
30233,13-04-12,MUMBAI,1925.0
30234,13-04-12,NAGPUR,2050.0
30282,16-04-12,MUMBAI,1925.0
30283,16-04-12,NAGPUR,2050.0
30331,17-04-12,MUMBAI,1925.0
30332,17-04-12,NAGPUR,2050.0
30380,18-04-12,MUMBAI,1925.0
30381,18-04-12,NAGPUR,2050.0
30429,19-04-12,MUMBAI,1925.0
30430,19-04-12,NAGPUR,2050.0
30478,20-04-12,MUMBAI,1925.0
30479,20-04-12,NAGPUR,2070.0
30527,23-04-12,MUMBAI,1925.0
30528,23-04-12,NAGPUR,2070.0
30576,24-04-12,MUMBAI,1925.0
30577,24-04-12,NAGPUR,2070.0
30625,25-04-12,MUMBAI,1925.0
30626,25-04-12,NAGPUR,2070.0
30674,26-04-12,MUMBAI,1925.0
30675,26-04-12,NAGPUR,2070.0
30723,27-04-12,MUMBAI,1925.0
30724,27-04-12,NAGPUR,2070.0
30772,30-04-12,MUMBAI,1925.0
30773,30-04-12,NAGPUR,2070.0
30821,01-05-12,MUMBAI,
30822,01-05-12,NAGPUR,
30870,02-05-12,MUMBAI,1925.0
30871,02-05-12,NAGPUR,2070.0
30919,03-05-12,MUMBAI,1950.0
30920,03-05-12,NAGPUR,2070.0
30968,04-05-12,MUMBAI,1950.0
30969,04-05-12,NAGPUR,2070.0
31017,07-05-12,MUMBAI,2000.0
31018,07-05-12,NAGPUR,2070.0
31066,08-05-12,MUMBAI,2000.0
31067,08-05-12,NAGPUR,2070.0
31115,09-05-12,MUMBAI,2000.0
31116,09-05-12,NAGPUR,2072.0
31164,10-05-12,MUMBAI,2000.0
31165,10-05-12,NAGPUR,2072.0
31213,11-05-12,MUMBAI,2000.0
31214,11-05-12,NAGPUR,2072.0
31262,14-05-12,MUMBAI,2000.0
31263,14-05-12,NAGPUR,2072.0
31311,15-05-12,MUMBAI,2000.0
31312,15-05-12,NAGPUR,2072.0
31360,16-05-12,MUMBAI,2000.0
31361,16-05-12,NAGPUR,2065.0
31409,17-05-12,MUMBAI,2850.0
31410,17-05-12,NAGPUR,2065.0
31458,18-05-12,MUMBAI,2850.0
31459,18-05-12,NAGPUR,2065.0
31507,21-05-12,MUMBAI,2850.0
31508,21-05-12,NAGPUR,2065.0
31556,22-05-12,MUMBAI,2850.0
31557,22-05-12,NAGPUR,2065.0
31605,23-05-12,MUMBAI,2850.0
31606,23-05-12,NAGPUR,2065.0
31654,24-05-12,MUMBAI,2850.0
31655,24-05-12,NAGPUR,2065.0
31703,25-05-12,MUMBAI,2850.0
31704,25-05-12,NAGPUR,2065.0
31752,28-05-12,MUMBAI,2400.0
31753,28-05-12,NAGPUR,2065.0
31801,29-05-12,MUMBAI,2400.0
31802,29-05-12,NAGPUR,2065.0
31850,30-05-12,MUMBAI,2400.0
31851,30-05-12,NAGPUR,2065.0
31899,31-05-12,MUMBAI,2400.0
31900,31-05-12,NAGPUR,2065.0
31948,01-06-12,MUMBAI,2400.0
31949,01-06-12,NAGPUR,2065.0
31997,04-06-12,MUMBAI,2400.0
31998,04-06-12,NAGPUR,2065.0
32046,05-06-12,MUMBAI,2400.0
32047,05-06-12,NAGPUR,2065.0
32098,06-06-12,MUMBAI,2400.0
32099,06-06-12,NAGPUR,2065.0
32150,07-06-12,MUMBAI,2400.0
32151,07-06-12,NAGPUR,2065.0
32202,08-06-12,MUMBAI,2400.0
32203,08-06-12,NAGPUR,2065.0
32254,11-06-12,MUMBAI,2400.0
32255,11-06-12,NAGPUR,2065.0
32306,12-06-12,MUMBAI,2400.0
32307,12-06-12,NAGPUR,2065.0
32358,13-06-12,MUMBAI,2400.0
32359,13-06-12,NAGPUR,2065.0
32410,14-06-12,MUMBAI,2400.0
32411,14-06-12,NAGPUR,2065.0
32462,15-06-12,MUMBAI,2400.0
32463,15-06-12,NAGPUR,2065.0
32514,18-06-12,MUMBAI,2400.0
32515,18-06-12,NAGPUR,2065.0
32566,19-06-12,MUMBAI,2400.0
32567,19-06-12,NAGPUR,2067.0
32618,20-06-12,MUMBAI,2400.0
32619,20-06-12,NAGPUR,2067.0
32670,21-06-12,MUMBAI,2400.0
32671,21-06-12,NAGPUR,2043.0
32722,22-06-12,MUMBAI,
32723,22-06-12,NAGPUR,
32774,25-06-12,MUMBAI,
32775,25-06-12,NAGPUR,
32826,26-06-12,MUMBAI,
32827,26-06-12,NAGPUR,
32878,27-06-12,MUMBAI,2400.0
32879,27-06-12,NAGPUR,2043.0
32930,28-06-12,MUMBAI,
32931,28-06-12,NAGPUR,
32982,29-06-12,MUMBAI,2400.0
32983,29-06-12,NAGPUR,2043.0
33034,02-07-12,MUMBAI,2400.0
33035,02-07-12,NAGPUR,2043.0
33086,03-07-12,MUMBAI,2400.0
